year,tournament_id,match_id,match_date,stage,group_name,knockout_stage,home_team_iso_raw,home_team_name,away_team_iso_raw,away_team_name,home_team_score,away_team_score,extra_time,penalty_shootout,home_team_score_penalties,away_team_score_penalties,result_1x2,match_country_name,home_team_iso,away_team_iso,host_country_iso,neutral_venue,host_team_iso,time_weight
1954,WC-1954,M-1954-21,1954-06-27,quarter-finals,not applicable,1,HUN,Hungary,BRA,Brazil,4,2,0,0,0,0,H,Switzerland,HUN,BRA,CHE,True,,0.033373269960326066
1954,WC-1954,M-1954-22,1954-06-27,quarter-finals,not applicable,1,DEU,West Germany,YUG,Yugoslavia,2,0,0,0,0,0,H,Switzerland,DEU,YUG,CHE,True,,0.033373269960326066
1954,WC-1954,M-1954-23,1954-06-30,semi-finals,not applicable,1,HUN,Hungary,URY,Uruguay,4,2,1,0,0,0,H,Switzerland,HUN,URY,CHE,True,,0.033373269960326066
1954,WC-1954,M-1954-24,1954-06-30,semi-finals,not applicable,1,DEU,West Germany,AUT,Austria,6,1,0,0,0,0,H,Switzerland,DEU,AUT,CHE,True,,0.033373269960326066
1954,WC-1954,M-1954-25,1954-07-03,third-place match,not applicable,1,AUT,Austria,URY,Uruguay,3,1,0,0,0,0,H,Switzerland,AUT,URY,CHE,True,,0.033373269960326066
1954,WC-1954,M-1954-26,1954-07-04,final,not applicable,1,DEU,West Germany,HUN,Hungary,3,2,0,0,0,0,H,Switzerland,DEU,HUN,CHE,True,,0.033373269960326066
1958,WC-1958,M-1958-01,1958-06-08,group stage,Group 3,0,SWE,Sweden,MEX,Mexico,3,0,0,0,0,0,H,Sweden,SWE,MEX,SWE,False,SWE,0.04076220397836621
1958,WC-1958,M-1958-02,1958-06-08,group stage,Group 1,0,ARG,Argentina,DEU,West Germany,1,3,0,0,0,0,A,Sweden,ARG,DEU,SWE,True,,0.04076220397836621
1958,WC-1958,M-1958-03,1958-06-08,group stage,Group 1,0,NIR,Northern Ireland,CSK,Czechoslovakia,1,0,0,0,0,0,H,Sweden,NIR,CZE,SWE,True,,0.04076220397836621
1958,WC-1958,M-1958-04,1958-06-08,group stage,Group 2,0,FRA,France,PRY,Paraguay,7,3,0,0,0,0,H,Sweden,FRA,PRY,SWE,True,,0.04076220397836621
1958,WC-1958,M-1958-05,1958-06-08,group stage,Group 2,0,YUG,Yugoslavia,SCO,Scotland,1,1,0,0,0,0,D,Sweden,YUG,SCO,SWE,True,,0.04076220397836621
1958,WC-1958,M-1958-06,1958-06-08,group stage,Group 3,0,HUN,Hungary,WAL,Wales,1,1,0,0,0,0,D,Sweden,HUN,WAL,SWE,True,,0.04076220397836621
1958,WC-1958,M-1958-07,1958-06-08,group stage,Group 4,0,BRA,Brazil,AUT,Austria,3,0,0,0,0,0,H,Sweden,BRA,AUT,SWE,True,,0.04076220397836621
1958,WC-1958,M-1958-08,1958-06-08,group stage,Group 4,0,SUN,Soviet Union,ENG,England,2,2,0,0,0,0,D,Sweden,SUN,ENG,SWE,True,,0.04076220397836621
1958,WC-1958,M-1958-09,1958-06-11,group stage,Group 1,0,ARG,Argentina,NIR,Northern Ireland,3,1,0,0,0,0,H,Sweden,ARG,NIR,SWE,True,,0.04076220397836621
1958,WC-1958,M-1958-10,1958-06-11,group stage,Group 1,0,DEU,West Germany,CSK,Czechoslovakia,2,2,0,0,0,0,D,Sweden,DEU,CZE,SWE,True,,0.04076220397836621
1958,WC-1958,M-1958-11,1958-06-11,group stage,Group 2,0,PRY,Paraguay,SCO,Scotland,3,2,0,0,0,0,H,Sweden,PRY,SCO,SWE,True,,0.04076220397836621
1958,WC-1958,M-1958-12,1958-06-11,group stage,Group 2,0,YUG,Yugoslavia,FRA,France,3,2,0,0,0,0,H,Sweden,YUG,FRA,SWE,True,,0.04076220397836621
1958,WC-1958,M-1958-13,1958-06-11,group stage,Group 3,0,MEX,Mexico,WAL,Wales,1,1,0,0,0,0,D,Sweden,MEX,WAL,SWE,True,,0.04076220397836621
1958,WC-1958,M-1958-14,1958-06-11,group stage,Group 4,0,BRA,Brazil,ENG,England,0,0,0,0,0,0,D,Sweden,BRA,ENG,SWE,True,,0.04076220397836621
1958,WC-1958,M-1958-15,1958-06-11,group stage,Group 4,0,SUN,Soviet Union,AUT,Austria,2,0,0,0,0,0,H,Sweden,SUN,AUT,SWE,True,,0.04076220397836621
