year,tournament_id,match_id,match_date,stage,group_name,knockout_stage,home_team_code,home_team_name,away_team_code,away_team_name,home_team_score,away_team_score,extra_time,penalty_shootout,home_team_score_penalties,away_team_score_penalties,result_1x2
1994,WC-1994,M-1994-23,1994-06-25,group stage,Group D,0,ARG,Argentina,NGA,Nigeria,2,1,0,0,0,0,H
1994,WC-1994,M-1994-24,1994-06-26,group stage,Group D,0,BGR,Bulgaria,GRC,Greece,4,0,0,0,0,0,H
1994,WC-1994,M-1994-25,1994-06-26,group stage,Group A,0,CHE,Switzerland,COL,Colombia,0,2,0,0,0,0,A
1994,WC-1994,M-1994-26,1994-06-26,group stage,Group A,0,USA,United States,ROU,Romania,0,1,0,0,0,0,A
1994,WC-1994,M-1994-27,1994-06-27,group stage,Group C,0,BOL,Bolivia,ESP,Spain,1,3,0,0,0,0,A
1994,WC-1994,M-1994-28,1994-06-27,group stage,Group C,0,DEU,Germany,KOR,South Korea,3,2,0,0,0,0,H
1994,WC-1994,M-1994-29,1994-06-28,group stage,Group E,0,ITA,Italy,MEX,Mexico,1,1,0,0,0,0,D
1994,WC-1994,M-1994-30,1994-06-28,group stage,Group E,0,IRL,Republic of Ireland,NOR,Norway,0,0,0,0,0,0,D
1994,WC-1994,M-1994-31,1994-06-28,group stage,Group B,0,RUS,Russia,CMR,Cameroon,6,1,0,0,0,0,H
1994,WC-1994,M-1994-32,1994-06-28,group stage,Group B,0,BRA,Brazil,SWE,Sweden,1,1,0,0,0,0,D
1994,WC-1994,M-1994-33,1994-06-29,group stage,Group F,0,BEL,Belgium,SAU,Saudi Arabia,0,1,0,0,0,0,A
1994,WC-1994,M-1994-34,1994-06-29,group stage,Group F,0,MAR,Morocco,NLD,Netherlands,1,2,0,0,0,0,A
1994,WC-1994,M-1994-35,1994-06-30,group stage,Group D,0,ARG,Argentina,BGR,Bulgaria,0,2,0,0,0,0,A
1994,WC-1994,M-1994-36,1994-06-30,group stage,Group D,0,GRC,Greece,NGA,Nigeria,0,2,0,0,0,0,A
1994,WC-1994,M-1994-37,1994-07-02,round of 16,not applicable,1,DEU,Germany,BEL,Belgium,3,2,0,0,0,0,H
1994,WC-1994,M-1994-38,1994-07-02,round of 16,not applicable,1,ESP,Spain,CHE,Switzerland,3,0,0,0,0,0,H
1994,WC-1994,M-1994-39,1994-07-03,round of 16,not applicable,1,SAU,Saudi Arabia,SWE,Sweden,1,3,0,0,0,0,A
1994,WC-1994,M-1994-40,1994-07-03,round of 16,not applicable,1,ROU,Romania,ARG,Argentina,3,2,0,0,0,0,H
1994,WC-1994,M-1994-41,1994-07-04,round of 16,not applicable,1,NLD,Netherlands,IRL,Republic of Ireland,2,0,0,0,0,0,H
1994,WC-1994,M-1994-42,1994-07-04,round of 16,not applicable,1,BRA,Brazil,USA,United States,1,0,0,0,0,0,H
1994,WC-1994,M-1994-43,1994-07-05,round of 16,not applicable,1,NGA,Nigeria,ITA,Italy,1,2,1,0,0,0,A
1994,WC-1994,M-1994-44,1994-07-05,round of 16,not applicable,1,MEX,Mexico,BGR,Bulgaria,1,1,1,1,1,3,D
